分拣中心,日期,货量
SC57,2023-10-02,10562
SC57,2023-10-03,10269
SC57,2023-10-04,10889
SC57,2023-10-05,11281
SC57,2023-10-06,12515
SC57,2023-10-07,13047
SC57,2023-10-08,13977
SC57,2023-10-09,14038
SC57,2023-10-10,13674
SC57,2023-10-11,14390
SC57,2023-10-12,14369
SC57,2023-10-13,14404
SC57,2023-10-14,13195
SC57,2023-10-15,10459
SC57,2023-10-16,9685
SC57,2023-10-17,10570
SC57,2023-10-18,10823
SC57,2023-10-19,12271
SC57,2023-10-20,12771
SC57,2023-10-21,12392
SC57,2023-10-22,12315
SC57,2023-10-23,12352
SC57,2023-10-24,14766
SC57,2023-10-25,10606
SC57,2023-10-26,9303
SC57,2023-10-27,10544
SC57,2023-10-28,10789
SC57,2023-10-29,9952
SC57,2023-10-30,8908
SC57,2023-10-31,10605
SC57,2023-11-02,17123
SC57,2023-11-03,13315
SC57,2023-11-04,11516
SC57,2023-11-05,11062
SC57,2023-11-06,10358
SC57,2023-11-07,10451
SC57,2023-11-08,10988
SC57,2023-11-09,11128
SC57,2023-11-10,10952
SC57,2023-11-12,19442
SC57,2023-11-13,13678
SC57,2023-11-14,10937
SC57,2023-11-15,10320
SC57,2023-11-16,9700
SC57,2023-11-17,9606
SC57,2023-11-18,9294
SC57,2023-11-19,8312
SC57,2023-11-20,8221
SC57,2023-11-21,7990
SC57,2023-11-22,8814
SC57,2023-11-23,8952
SC57,2023-11-24,7922
SC57,2023-11-25,8374
SC57,2023-11-26,8001
SC57,2023-11-27,8007
SC57,2023-11-28,8004
SC57,2023-11-29,8520
SC57,2023-11-30,8650
SC34,2023-08-01,8896
SC34,2023-08-02,8588
SC34,2023-08-03,8440
SC34,2023-08-04,7961
SC34,2023-08-05,8015
SC34,2023-08-06,7284
SC34,2023-08-07,7474
SC34,2023-08-08,7773
SC34,2023-08-09,7998
SC34,2023-08-10,7688
SC34,2023-08-11,7855
SC34,2023-08-12,7339
SC34,2023-08-13,6752
SC34,2023-08-14,7513
SC34,2023-08-15,8637
SC34,2023-08-16,7825
SC34,2023-08-17,8213
SC34,2023-08-18,8393
SC34,2023-08-19,8104
SC34,2023-08-20,7667
SC34,2023-08-21,8146
SC34,2023-08-22,7877
SC34,2023-08-23,8315
SC34,2023-08-24,8972
SC34,2023-08-25,9315
SC34,2023-08-26,8444
SC34,2023-08-27,9423
SC34,2023-08-28,10095
SC34,2023-08-29,8655
SC34,2023-08-30,9822
SC34,2023-08-31,10469
SC34,2023-09-01,13611
SC34,2023-09-02,10109
SC34,2023-09-03,9044
SC34,2023-09-04,9297
SC34,2023-09-05,10030
SC34,2023-09-06,10726
SC34,2023-09-07,12207
SC34,2023-09-08,10588
SC34,2023-09-09,10533
SC34,2023-09-10,8556
SC34,2023-09-11,8501
SC34,2023-09-12,9079
SC34,2023-09-13,9793
SC34,2023-09-14,11729
SC34,2023-09-15,9520
SC34,2023-09-16,8903
SC34,2023-09-17,9194
SC34,2023-09-18,10109
SC34,2023-09-19,11366
SC34,2023-09-20,10594
SC34,2023-09-21,10655
SC34,2023-09-22,11470
SC34,2023-09-23,11021
SC34,2023-09-24,11014
SC34,2023-09-25,11236
SC34,2023-09-26,12371
SC34,2023-09-27,10767
SC34,2023-09-28,10881
SC34,2023-09-29,9440
SC34,2023-09-30,8647
SC34,2023-10-01,8947
SC34,2023-10-02,8270
SC34,2023-10-03,8108
SC34,2023-10-04,7596
SC34,2023-10-05,7795
SC34,2023-10-06,7839
SC34,2023-10-07,8441
SC34,2023-10-08,8766
SC34,2023-10-09,8853
SC34,2023-10-10,8786
SC34,2023-10-11,8186
SC34,2023-10-12,8341
SC34,2023-10-13,8210
SC34,2023-10-14,7701
SC34,2023-10-15,7590
SC34,2023-10-16,8733
SC34,2023-10-17,8565
SC34,2023-10-18,8615
SC34,2023-10-19,9814
SC34,2023-10-20,11093
SC34,2023-10-21,8608
SC34,2023-10-22,7965
SC34,2023-10-23,11846
SC34,2023-10-24,20778
SC34,2023-10-25,11990
SC34,2023-10-26,10962
SC34,2023-10-27,11785
SC34,2023-10-28,10685
SC34,2023-10-29,9834
SC34,2023-10-30,9807
SC34,2023-10-31,15448
SC34,2023-11-02,17032
SC34,2023-11-03,12176
SC34,2023-11-04,12181
SC34,2023-11-05,10979
SC34,2023-11-06,11018
SC34,2023-11-07,10744
SC34,2023-11-08,12658
SC34,2023-11-09,11030
SC34,2023-11-10,16504
SC34,2023-11-12,17791
SC34,2023-11-13,10031
SC34,2023-11-14,7372
SC34,2023-11-15,8126
SC34,2023-11-16,8595
SC34,2023-11-17,7789
SC34,2023-11-18,7652
SC34,2023-11-19,7402
SC34,2023-11-20,8148
SC34,2023-11-21,8194
SC34,2023-11-22,8452
SC34,2023-11-23,8481
SC34,2023-11-24,8648
SC34,2023-11-25,8265
SC34,2023-11-26,8134
SC34,2023-11-27,8641
SC34,2023-11-28,8638
SC34,2023-11-29,8879
SC34,2023-11-30,9528
SC43,2023-08-01,3875
SC43,2023-08-02,3826
SC43,2023-08-03,3131
SC43,2023-08-04,2848
SC43,2023-08-05,2735
SC43,2023-08-06,2754
SC43,2023-08-07,2738
SC43,2023-08-08,2481
SC43,2023-08-09,4961
SC43,2023-08-10,4898
SC43,2023-08-11,4323
SC43,2023-08-12,4124
SC43,2023-08-13,3253
SC43,2023-08-14,3091
SC43,2023-08-15,2922
SC43,2023-08-16,2962
SC43,2023-08-17,2843
SC43,2023-08-18,4243
SC43,2023-08-19,3565
SC43,2023-08-20,3531
SC43,2023-08-21,4183
SC43,2023-08-22,3709
SC43,2023-08-23,3381
SC43,2023-08-24,3263
SC43,2023-08-25,3382
SC43,2023-08-26,3233
SC43,2023-08-27,3277
SC43,2023-08-28,3488
SC43,2023-08-29,3479
SC43,2023-08-30,3320
SC43,2023-08-31,3114
SC43,2023-09-01,3287
SC43,2023-09-02,3314
SC43,2023-09-03,3373
SC43,2023-09-04,3338
SC43,2023-09-05,3195
SC43,2023-09-06,3026
SC43,2023-09-07,6649
SC43,2023-09-08,4011
SC43,2023-09-09,4025
SC43,2023-09-10,3872
SC43,2023-09-11,3049
SC43,2023-09-12,3000
SC43,2023-09-13,2867
SC43,2023-09-14,2835
SC43,2023-09-15,2805
SC43,2023-09-16,2794
SC43,2023-09-17,2871
SC43,2023-09-18,2973
SC43,2023-09-19,2918
SC43,2023-09-20,2898
SC43,2023-09-21,3619
SC43,2023-09-22,3123
SC43,2023-09-23,3036
SC43,2023-09-24,3529
SC43,2023-09-25,3275
SC43,2023-09-26,3221
SC43,2023-09-27,2894
SC43,2023-09-28,3577
SC43,2023-09-29,3026
SC43,2023-09-30,3182
SC43,2023-10-01,2950
SC43,2023-10-02,2868
SC43,2023-10-03,2935
SC43,2023-10-04,3062
SC43,2023-10-05,3276
SC43,2023-10-06,3595
SC43,2023-10-07,3757
SC43,2023-10-08,3004
SC43,2023-10-09,2727
SC43,2023-10-10,3540
SC43,2023-10-11,3264
SC43,2023-10-12,3194
SC43,2023-10-13,2889
SC43,2023-10-14,2696
SC43,2023-10-15,2895
SC43,2023-10-16,2955
SC43,2023-10-17,2860
SC43,2023-10-18,2713
SC43,2023-10-19,2661
SC43,2023-10-20,3026
SC43,2023-10-21,2700
SC43,2023-10-22,2693
SC43,2023-10-23,2723
SC43,2023-10-24,4127
SC43,2023-10-25,4355
SC43,2023-10-26,3590
SC43,2023-10-27,3680
SC43,2023-10-28,3180
SC43,2023-10-29,3007
SC43,2023-10-30,3048
SC43,2023-10-31,3870
SC43,2023-11-02,10008
SC43,2023-11-03,6312
SC43,2023-11-04,6853
SC43,2023-11-05,4943
SC43,2023-11-06,4707
SC43,2023-11-07,4748
SC43,2023-11-08,4674
SC43,2023-11-09,4101
SC43,2023-11-10,4016
SC43,2023-11-13,5728
SC43,2023-11-14,3692
SC43,2023-11-15,3150
SC43,2023-11-16,3115
SC43,2023-11-17,3113
SC43,2023-11-18,3125
SC43,2023-11-19,3160
SC43,2023-11-20,3098
SC43,2023-11-21,2828
SC43,2023-11-22,3525
SC43,2023-11-23,2657
SC43,2023-11-24,2728
SC43,2023-11-25,2928
SC43,2023-11-26,2832
SC43,2023-11-27,2990
SC43,2023-11-28,3014
SC43,2023-11-29,2676
SC43,2023-11-30,2975
SC1,2023-08-01,39517
SC1,2023-08-02,40008
SC1,2023-08-03,38477
SC1,2023-08-04,35773
SC1,2023-08-05,31876
SC1,2023-08-06,31319
SC1,2023-08-07,29584
SC1,2023-08-08,33034
SC1,2023-08-09,34242
SC1,2023-08-10,34123
SC1,2023-08-11,33589
SC1,2023-08-12,33793
SC1,2023-08-13,31308
SC1,2023-08-14,31785
SC1,2023-08-15,34678
SC1,2023-08-16,35694
SC1,2023-08-17,36006
SC1,2023-08-18,36039
SC1,2023-08-19,37610
SC1,2023-08-20,34386
SC1,2023-08-21,35922
SC1,2023-08-22,36408
SC1,2023-08-23,36657
SC1,2023-08-24,37910
SC1,2023-08-25,39080
SC1,2023-08-26,37218
SC1,2023-08-27,36814
SC1,2023-08-28,36179
SC1,2023-08-29,38688
SC1,2023-08-30,40087
SC1,2023-08-31,40664
SC1,2023-09-01,44955
SC1,2023-09-02,45716
SC1,2023-09-03,40073
SC1,2023-09-04,38701
SC1,2023-09-05,39932
SC1,2023-09-06,43154
SC1,2023-09-07,46353
SC1,2023-09-08,42481
SC1,2023-09-09,41695
SC1,2023-09-10,39697
SC1,2023-09-11,38400
SC1,2023-09-12,39122
SC1,2023-09-13,43296
SC1,2023-09-14,43579
SC1,2023-09-15,42150
SC1,2023-09-16,43131
SC1,2023-09-17,40851
SC1,2023-09-18,41287
SC1,2023-09-19,43304
SC1,2023-09-20,45579
SC1,2023-09-21,47715
SC1,2023-09-22,47240
SC1,2023-09-23,47051
SC1,2023-09-24,48767
SC1,2023-09-25,45919
SC1,2023-09-26,49085
SC1,2023-09-27,47858
SC1,2023-09-28,42365
SC1,2023-09-29,35506
SC1,2023-09-30,31313
SC1,2023-10-01,30105
SC1,2023-10-02,26567
SC1,2023-10-03,27154
SC1,2023-10-04,27801
SC1,2023-10-05,32019
SC1,2023-10-06,32791
SC1,2023-10-07,37052
SC1,2023-10-08,41362
SC1,2023-10-09,38656
SC1,2023-10-10,38319
SC1,2023-10-11,39627
SC1,2023-10-12,41885
SC1,2023-10-13,41697
SC1,2023-10-14,39689
SC1,2023-10-15,38619
SC1,2023-10-16,36954
SC1,2023-10-17,40750
SC1,2023-10-18,43666
SC1,2023-10-19,42066
SC1,2023-10-20,49307
SC1,2023-10-21,43694
SC1,2023-10-22,39941
SC1,2023-10-23,42015
SC1,2023-10-24,69918
SC1,2023-10-25,61167
SC1,2023-10-26,55018
SC1,2023-10-27,55915
SC1,2023-10-28,53443
SC1,2023-10-29,48554
SC1,2023-10-30,44495
SC1,2023-10-31,49178
SC1,2023-11-03,69025
SC1,2023-11-04,61433
SC1,2023-11-05,56707
SC1,2023-11-06,57491
SC1,2023-11-07,57672
SC1,2023-11-08,62365
SC1,2023-11-09,58697
SC1,2023-11-10,57044
SC1,2023-11-13,73365
SC1,2023-11-14,58689
SC1,2023-11-15,53282
SC1,2023-11-16,51085
SC1,2023-11-17,50218
SC1,2023-11-18,46956
SC1,2023-11-19,43396
SC1,2023-11-20,42414
SC1,2023-11-21,45994
SC1,2023-11-22,45352
SC1,2023-11-23,45169
SC1,2023-11-24,44719
SC1,2023-11-25,44496
SC1,2023-11-26,42879
SC1,2023-11-27,41085
SC1,2023-11-28,44200
SC1,2023-11-29,45217
SC1,2023-11-30,45707
SC37,2023-08-01,1187
SC37,2023-08-02,538
SC37,2023-08-03,495
SC37,2023-08-04,466
SC37,2023-08-05,1450
SC37,2023-08-06,601
SC37,2023-08-07,528
SC37,2023-08-08,529
SC37,2023-08-09,510
SC37,2023-08-10,529
SC37,2023-08-11,475
SC37,2023-08-12,577
SC37,2023-08-13,551
SC37,2023-08-14,747
SC37,2023-08-15,1683
SC37,2023-08-16,655
SC37,2023-08-17,578
SC37,2023-08-18,596
SC37,2023-08-19,494
SC37,2023-08-20,618
SC37,2023-08-21,601
SC37,2023-08-22,562
SC37,2023-08-23,573
SC37,2023-08-24,536
SC37,2023-08-25,1552
SC37,2023-08-26,779
SC37,2023-08-27,671
SC37,2023-08-28,758
SC37,2023-08-29,624
SC37,2023-08-30,667
SC37,2023-08-31,853
SC37,2023-09-01,1364
SC37,2023-09-02,752
SC37,2023-09-03,726
SC37,2023-09-04,601
SC37,2023-09-05,1591
SC37,2023-09-06,529
SC37,2023-09-07,487
SC37,2023-09-08,509
SC37,2023-09-09,714
SC37,2023-09-11,1764
SC37,2023-09-12,1637
SC37,2023-09-13,1273
SC37,2023-09-14,1083
SC37,2023-09-15,1604
SC37,2023-09-16,855
SC37,2023-09-17,811
SC37,2023-09-18,746
SC37,2023-09-19,873
SC37,2023-09-20,684
SC37,2023-09-21,913
SC37,2023-09-22,533
SC37,2023-09-23,468
SC37,2023-09-24,659
SC37,2023-09-25,1408
SC37,2023-09-26,1202
SC37,2023-09-27,683
SC37,2023-09-28,754
SC37,2023-09-29,595
SC37,2023-09-30,901
SC37,2023-10-01,1155
SC37,2023-10-02,857
SC37,2023-10-03,421
SC37,2023-10-04,408
SC37,2023-10-05,1187
SC37,2023-10-06,817
SC37,2023-10-07,532
SC37,2023-10-08,711
SC37,2023-10-09,589
SC37,2023-10-10,667
SC37,2023-10-11,598
SC37,2023-10-12,806
SC37,2023-10-13,687
SC37,2023-10-14,553
SC37,2023-10-15,1659
SC37,2023-10-16,787
SC37,2023-10-17,696
SC37,2023-10-18,676
SC37,2023-10-19,574
SC37,2023-10-20,567
SC37,2023-10-21,506
SC37,2023-10-22,505
SC37,2023-10-23,1351
SC37,2023-10-24,600
SC37,2023-10-25,1473
SC37,2023-10-26,1127
SC37,2023-10-27,648
SC37,2023-10-28,620
SC37,2023-10-29,723
SC37,2023-10-30,780
SC37,2023-10-31,1241
SC37,2023-11-01,1241
SC37,2023-11-02,551
SC37,2023-11-03,493
SC37,2023-11-04,413
SC37,2023-11-05,1611
SC37,2023-11-06,915
SC37,2023-11-07,1373
SC37,2023-11-08,1089
SC37,2023-11-09,624
SC37,2023-11-10,809
SC37,2023-11-11,541
SC37,2023-11-12,814
SC37,2023-11-13,767
SC37,2023-11-14,688
SC37,2023-11-15,1474
SC37,2023-11-16,984
SC37,2023-11-17,573
SC37,2023-11-18,606
SC37,2023-11-19,595
SC37,2023-11-20,625
SC37,2023-11-21,628
SC37,2023-11-22,629
SC37,2023-11-23,891
SC37,2023-11-24,575
SC37,2023-11-25,1620
SC37,2023-11-26,906
SC37,2023-11-27,740
SC37,2023-11-28,1302
SC37,2023-11-29,980
SC37,2023-11-30,990
SC35,2023-08-01,20958
SC35,2023-08-02,21487
SC35,2023-08-03,20067
SC35,2023-08-04,20139
SC35,2023-08-05,21213
SC35,2023-08-06,21172
SC35,2023-08-07,20422
SC35,2023-08-08,21789
SC35,2023-08-09,22669
SC35,2023-08-10,23029
SC35,2023-08-11,23145
SC35,2023-08-12,24605
SC35,2023-08-13,23354
SC35,2023-08-14,22439
SC35,2023-08-15,24531
SC35,2023-08-16,25887
SC35,2023-08-17,26193
SC35,2023-08-18,26195
SC35,2023-08-19,27769
SC35,2023-08-20,25768
SC35,2023-08-21,24872
SC35,2023-08-22,25416
SC35,2023-08-23,25983
SC35,2023-08-24,25790
SC35,2023-08-25,27029
SC35,2023-08-26,25618
SC35,2023-08-27,26329
SC35,2023-08-28,25408
SC35,2023-08-29,25992
SC35,2023-08-30,27020
SC35,2023-08-31,27050
SC35,2023-09-01,27145
SC35,2023-09-02,28863
SC35,2023-09-03,26954
SC35,2023-09-04,26920
SC35,2023-09-05,29100
SC35,2023-09-06,28006
SC35,2023-09-07,30166
SC35,2023-09-08,29552
SC35,2023-09-09,27041
SC35,2023-09-10,27175
SC35,2023-09-11,25833
SC35,2023-09-12,26725
SC35,2023-09-13,29280
SC35,2023-09-14,27488
SC35,2023-09-15,27528
SC35,2023-09-16,25874
SC35,2023-09-17,25768
SC35,2023-09-18,26520
SC35,2023-09-19,26104
SC35,2023-09-20,28190
SC35,2023-09-21,27958
SC35,2023-09-22,27420
SC35,2023-09-23,29274
SC35,2023-09-24,27844
SC35,2023-09-25,28052
SC35,2023-09-26,29013
SC35,2023-09-27,30005
SC35,2023-09-28,26474
SC35,2023-09-29,23793
SC35,2023-09-30,23878
SC35,2023-10-01,22291
SC35,2023-10-02,20413
SC35,2023-10-03,20046
SC35,2023-10-04,21596
SC35,2023-10-05,22643
SC35,2023-10-06,23264
SC35,2023-10-07,24981
SC35,2023-10-08,26485
SC35,2023-10-09,26014
SC35,2023-10-10,26952
SC35,2023-10-11,29224
SC35,2023-10-12,27342
SC35,2023-10-13,25995
SC35,2023-10-14,26374
SC35,2023-10-15,26563
SC35,2023-10-16,26050
SC35,2023-10-17,27190
SC35,2023-10-18,26479
SC35,2023-10-19,27050
SC35,2023-10-20,28171
SC35,2023-10-21,27065
SC35,2023-10-22,27317
SC35,2023-10-23,27063
SC35,2023-10-24,34513
SC35,2023-10-25,31712
SC35,2023-10-26,31443
SC35,2023-10-27,30114
SC35,2023-10-28,30461
SC35,2023-10-29,29579
SC35,2023-10-30,27113
SC35,2023-10-31,29836
SC35,2023-11-03,33216
SC35,2023-11-04,30067
SC35,2023-11-05,31207
SC35,2023-11-06,30999
SC35,2023-11-07,30707
SC35,2023-11-08,32769
SC35,2023-11-09,32634
SC35,2023-11-10,32998
SC35,2023-11-14,33587
SC35,2023-11-15,33074
SC35,2023-11-16,32522
SC35,2023-11-17,32755
SC35,2023-11-18,31979
SC35,2023-11-19,31421
SC35,2023-11-20,31900
SC35,2023-11-21,30072
SC35,2023-11-22,32808
SC35,2023-11-23,31565
SC35,2023-11-24,31348
SC35,2023-11-25,31540
SC35,2023-11-26,30135
SC35,2023-11-27,29290
SC35,2023-11-28,30417
SC35,2023-11-29,31285
SC35,2023-11-30,29712
SC20,2023-08-01,183
SC20,2023-08-02,84
SC20,2023-08-03,89
SC20,2023-08-04,72
SC20,2023-08-05,33
SC20,2023-08-06,46
SC20,2023-08-07,122
SC20,2023-08-08,95
SC20,2023-08-09,86
SC20,2023-08-10,158
SC20,2023-08-11,819
SC20,2023-08-12,431
SC20,2023-08-13,93
SC20,2023-08-14,207
SC20,2023-08-15,129
SC20,2023-08-16,75
SC20,2023-08-17,94
SC20,2023-08-18,80
SC20,2023-08-19,33
SC20,2023-08-20,39
SC20,2023-08-21,136
SC20,2023-08-22,93
SC20,2023-08-23,56
SC20,2023-08-24,88
SC20,2023-08-25,115
SC20,2023-08-26,152
SC20,2023-08-27,38
SC20,2023-08-28,70
SC20,2023-08-29,124
SC20,2023-08-30,568
SC20,2023-08-31,481
SC20,2023-09-01,512
SC20,2023-09-02,408
SC20,2023-09-03,353
SC20,2023-09-04,425
SC20,2023-09-05,560
SC20,2023-09-06,674
SC20,2023-09-07,329
SC20,2023-09-08,737
SC20,2023-09-09,705
SC20,2023-09-10,223
SC20,2023-09-11,851
SC20,2023-09-12,813
SC20,2023-09-13,410
SC20,2023-09-14,226
SC20,2023-09-15,203
SC20,2023-09-16,125
SC20,2023-09-17,79
SC20,2023-09-18,314
SC20,2023-09-19,224
SC20,2023-09-20,248
SC20,2023-09-21,227
SC20,2023-09-22,197
SC20,2023-09-23,125
SC20,2023-09-24,133
SC20,2023-09-25,153
SC20,2023-09-26,248
